filter_i,filter_j,corr_CTCF,corr_B2CTCF,corr_B2noCTCF,diff_B2CTCF_vs_CTCF,diff_B2CTCF_vs_B2no,diff_CTCF_vs_B2no
1,3,0.06339059230416054,-0.3356057672953171,-0.13650042967815718,-0.39899635959947766,-0.19910533761715993,0.19989102198231773
1,4,0.044635564477465896,0.02309013321221741,-0.06603777307993838,-0.021545431265248487,0.08912790629215579,0.11067333755740427
1,5,-0.10808429723017456,0.21732471257364303,0.12838324620885894,0.3254090098038176,0.08894146636478409,-0.23646754343903348
1,6,0.18037894746206487,-0.08485940489503442,0.11106797152265699,-0.2652383523570993,-0.19592737641769142,0.06931097593940788
1,7,-0.04611939890577204,-0.45595423650120853,-0.10167609107005875,-0.4098348375954365,-0.35427814543114977,0.05555669216428671
1,8,0.10702456234331974,0.25521914507051213,0.20064980149103664,0.14819458272719238,0.05456934357947549,-0.09362523914771691
1,9,0.03296530335302251,-0.05016370242306424,-0.009771698464760963,-0.08312900577608676,-0.04039200395830328,0.04273700181778347
1,10,-0.004600884202312611,0.20477680796105943,0.020979298081313633,0.20937769216337204,0.1837975098797458,-0.025580182283626244
1,11,-0.08247775112840555,-0.39385087992118095,-0.11080913279036421,-0.3113731287927754,-0.28304174713081676,0.028331381661958657
1,12,-0.1089946186855526,0.08569757081146338,-0.05745248492877552,0.194692189497016,0.1431500557402389,-0.05154213375677708
1,13,-0.0022128829364835125,-0.27536913754112924,-0.083487995779474,-0.2731562546046457,-0.19188114176165524,0.08127511284299048
1,14,-0.08981958410693146,-0.47460862194113884,-0.18313777358816866,-0.38478903783420737,-0.2914708483529702,0.0933181894812372
1,15,-0.008811479044566249,-0.5247168001228748,-0.14382850333778663,-0.5159053210783086,-0.3808882967850882,0.13501702429322038
1,16,-0.009754543472766513,0.031171066474771105,-0.032560358534804636,0.04092560994753762,0.06373142500957574,0.022805815062038125
1,17,0.03639365980425942,0.06835199816309517,0.014478554449626136,0.031958338358835756,0.05387344371346904,0.021915105354633282
1,18,0.02509677553448461,-0.13890044162538345,0.10330874018474039,-0.16399721715986806,-0.24220918181012385,-0.07821196465025577
1,19,0.04316506291286211,0.3769483256746079,0.17114146229460334,0.3337832627617458,0.20580686338000456,-0.1279763993817412
1,20,0.005644780271716826,-0.0022684227233344275,0.02264592111369276,-0.007913202995051254,-0.024914343837027186,-0.01700114084197593
1,21,0.07088616032748543,0.34625920414870864,0.2597501361365762,0.2753730438212232,0.08650906801213243,-0.18886397580909078
1,22,0.08429458300050856,0.03538047224124826,-0.05092454610799374,-0.0489141107592603,0.08630501834924201,0.1352191291085023
1,23,0.08449382721641285,-0.34044838877966016,0.06751294947399346,-0.424942215996073,-0.4079613382536536,0.016980877742419395
1,24,-0.02698997368916775,-0.029722320270293052,-0.04498085781641335,-0.0027323465811253007,0.0152585375461203,0.0179908841272456
1,25,-0.11107348410840402,0.3375899981129058,0.07903817840203349,0.4486634822213098,0.2585518197108723,-0.1901116625104375
1,26,-0.05170754327969529,-0.2261947410035918,0.0008253987087914374,-0.1744871977238965,-0.22702013971238325,-0.05253294198848673
1,27,0.03611611120328377,0.2449020522621724,0.0696855849073237,0.20878594105888865,0.1752164673548487,-0.033569473704039926
1,28,0.022993410697568908,-0.03389705618563623,0.029092291652698717,-0.056890466883205135,-0.06298934783833494,-0.0060988809551298095
1,29,0.09902551268262222,0.09346274189079393,0.11244749201245682,-0.005562770791828292,-0.018984750121662897,-0.013421979329834605
